completed_episodes,estimated_ev,standard_error,mean_staked
4000,-0.37525,0.10178942362608732,4.6655
8000,-0.34925,0.09638448891601697,4.3355
12000,-0.38225,0.08673099850572977,3.862
16000,-0.40925,0.0836978039134837,3.691
20000,-0.423,0.0855961380520448,3.7975
24000,-0.40925,0.08494956110961585,3.769
28000,-0.4315,0.0814768256104506,3.588
32000,-0.378,0.07904227881912602,3.48
36000,-0.341,0.08067287993358356,3.5735
40000,-0.38925,0.07881726206326616,3.482
44000,-0.43775,0.08087657558891508,3.574
48000,-0.373,0.08295556830711592,3.6415
50000,-0.45725,0.08242372567426817,3.628
