completed_episodes,estimated_ev,standard_error,mean_staked
4000,-0.38,0.09780123997818552,4.459
8000,-0.43325,0.09337729584025883,4.203
12000,-0.3975,0.08554622114960127,3.7965
16000,-0.43,0.08572907754880302,3.774
20000,-0.4515,0.08191873543095805,3.608
24000,-0.45475,0.08500162561344615,3.746
28000,-0.42,0.0839468494749409,3.6825
32000,-0.42425,0.08335866963100673,3.6605
36000,-0.42475,0.08433437829516036,3.7175
40000,-0.456,0.08463148494574617,3.7065
44000,-0.4095,0.08313233647434579,3.651
48000,-0.4565,0.07747454438403466,3.617
50000,-0.4805,0.08213667324372087,3.6125
