completed_episodes,estimated_ev,standard_error,mean_staked
4000,-0.4835,0.10122431553746368,4.6545
8000,-0.4715,0.09150699776694762,4.3605
12000,-0.564,0.08606483357207456,4.0505
16000,-0.6215,0.0839874742024753,3.779
20000,-0.68025,0.08010165795133879,3.7685
24000,-0.73,0.08591123541298362,3.7875
28000,-0.8505,0.07831277878265035,3.6995
32000,-0.80425,0.07458257000549331,3.525
36000,-0.6965,0.07787153435583162,3.6585
40000,-0.74925,0.07573716246096641,3.5355
44000,-0.68375,0.07582499709094567,3.5525
48000,-0.7445,0.08075732627987343,3.59
50000,-0.734,0.08055350044049363,3.568
