completed_episodes,estimated_ev,standard_error,mean_staked
4000,-0.41125,0.09789045146996972,4.5185
8000,-0.43575,0.09151057622772771,4.1615
12000,-0.46875,0.08565697740195377,3.862
16000,-0.47325,0.08429936482681884,3.788
20000,-0.48125,0.08000366874247786,3.6105
24000,-0.5465,0.08093326863525278,3.634
28000,-0.527,0.07962760688284524,3.597
32000,-0.5825,0.08112266834035559,3.669
36000,-0.62275,0.08138313907937691,3.6545
40000,-0.55675,0.08392615217117444,3.7695
44000,-0.6,0.08372427890067922,3.7665
48000,-0.545,0.08114511547149612,3.675
50000,-0.5715,0.07906765914304774,3.576
