completed_episodes,estimated_ev,standard_error,mean_staked
4000,-0.42825,0.12582837461669502,6.0
8000,-0.42825,0.12582837461669502,6.0
12000,-0.42825,0.12582837461669502,6.0
16000,-0.37825,0.1163058016115028,5.524
20000,-0.42825,0.12582837461669502,6.0
24000,-0.42825,0.12582837461669502,6.0
28000,-0.42825,0.12582837461669502,6.0
32000,-0.42825,0.12582837461669502,6.0
36000,-0.42825,0.12582837461669502,6.0
40000,-0.42825,0.12582837461669502,6.0
44000,-0.42825,0.12582837461669502,6.0
48000,-0.42825,0.12582837461669502,6.0
50000,-0.42825,0.12582837461669502,6.0
