completed_episodes,estimated_ev,standard_error,mean_staked
4000,-0.42475,0.11870615735776861,5.575
8000,-0.43625,0.12252208494553012,5.828
12000,-0.41775,0.10473915272622221,5.0
16000,-0.41775,0.10473915272622221,5.0
20000,-0.41775,0.10473915272622221,5.0
24000,-0.41775,0.10473915272622221,5.0
28000,-0.41775,0.10473915272622221,5.0
32000,-0.41775,0.10473915272622221,5.0
36000,-0.41775,0.10473915272622221,5.0
40000,-0.41875,0.10502810181011041,5.012
44000,-0.41775,0.10477019311537378,5.001
48000,-0.41675,0.10721226354049587,5.108
50000,-0.39075,0.09364750208133175,4.426
