completed_episodes,estimated_ev,standard_error,mean_staked
4000,-0.39675,0.06424890021891168,3.0
8000,-0.32775,0.08748245000158111,4.027
12000,-0.37975,0.06878097760420461,3.178
16000,-0.42825,0.12582837461669502,6.0
20000,-0.41775,0.10473915272622221,5.0
24000,-0.41775,0.10473915272622221,5.0
28000,-0.41775,0.10473915272622221,5.0
32000,-0.41775,0.10473915272622221,5.0
36000,-0.41775,0.10473915272622221,5.0
40000,-0.41775,0.10473915272622221,5.0
44000,-0.41775,0.10473915272622221,5.0
48000,-0.41775,0.10473915272622221,5.0
50000,-0.41775,0.10473915272622221,5.0
